OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
100001,2025-03-13,CUST0210,East,Laptop,Electronics,5,1602.01,8010.05,Completed,Amit
100002,2025-11-05,CUST0055,West,Laptop,Electronics,4,1546.97,6187.88,Completed,Arjun
100003,2025-01-04,CUST0327,South,Washing Machine,Home Appliances,10,6285.62,62856.2,Completed,Rahul
100004,2025-02-19,CUST0736,North,Washing Machine,Home Appliances,2,2762.17,5524.34,Completed,Amit
100005,2025-05-31,CUST1288,North,Book,Stationery,7,57.82,404.74,Completed,Priya
100006,2025-04-30,CUST0207,South,Smartphone,Electronics,5,4933.5,24667.5,Completed,Sneha
100007,2025-05-17,CUST1438,East,Washing Machine,Home Appliances,6,4980.63,29883.78,Completed,Rahul
100008,2025-11-24,CUST1410,West,Refrigerator,Home Appliances,8,8209.65,65677.2,Completed,Amit
100009,2025-02-03,CUST0433,North,Refrigerator,Home Appliances,6,8622.13,51732.78,Completed,Meera
100010,2025-05-07,CUST1150,North,Backpack,Stationery,3,147.14,441.42,Completed,Arjun
100011,2025-03-12,CUST1044,South,Pen,Stationery,4,498.72,1994.88,Completed,Amit
100012,2025-08-05,CUST1222,East,Smartphone,Electronics,3,4064.36,12193.08,Completed,Meera
100013,2025-10-02,CUST0547,North,Shoes,Fashion,2,2108.79,4217.58,Completed,Arjun
100014,2025-05-15,CUST1026,West,Washing Machine,Home Appliances,1,19122.5,19122.5,Completed,Priya
100015,2025-03-24,CUST1105,East,T-Shirt,Fashion,3,1246.96,3740.88,Completed,Meera
100016,2025-06-07,CUST0491,East,Laptop,Electronics,6,4454.25,26725.5,Completed,Priya
100017,2025-09-30,CUST0258,West,Keyboard,Electronics,2,4900.93,9801.86,Completed,Rahul
100018,2025-12-20,CUST0412,North,Jacket,Fashion,4,2800.96,11203.84,Completed,Sneha
100019,2025-02-02,CUST0693,East,Backpack,Stationery,2,138.99,277.98,Completed,Neha
100020,2025-01-31,CUST0469,East,Refrigerator,Home Appliances,2,14448.98,28897.96,Returned,Sneha
100021,2025-09-06,CUST0439,West,Mouse,Electronics,4,1753.15,7012.6,Completed,Meera
100022,2025-02-19,CUST1350,South,Washing Machine,Home Appliances,7,4617.79,32324.53,Completed,Arjun
100023,2025-06-23,CUST0224,West,Book,Stationery,2,49.09,98.18,Completed,Meera
100024,2025-05-08,CUST0155,South,Washing Machine,Home Appliances,3,6292.36,18877.08,Cancelled,Priya
100025,2025-05-02,CUST0341,South,Mouse,Electronics,1,4860.48,4860.48,Completed,Neha
100026,2025-07-19,CUST0544,South,Book,Stationery,3,201.91,605.73,Completed,Meera
100027,2025-01-30,CUST1187,East,Refrigerator,Home Appliances,5,5136.32,25681.6,Completed,Amit
100028,2025-09-29,CUST0323,East,Mouse,Electronics,8,2762.83,22102.64,Returned,Priya
100029,2025-05-01,CUST0827,East,Refrigerator,Home Appliances,10,2291.26,22912.6,Returned,Neha
100030,2025-10-26,CUST1158,North,Mouse,Electronics,2,2386.51,4773.02,Returned,Neha
100031,2025-12-10,CUST1322,North,T-Shirt,Fashion,5,1308.2,6541.0,Completed,Priya
100032,2025-02-21,CUST0151,West,Keyboard,Electronics,10,4993.04,49930.4,Completed,Rahul
100033,2025-03-22,CUST0898,North,Shoes,Fashion,4,1234.68,4938.72,Completed,Amit
100034,2025-02-24,CUST1134,West,Shoes,Fashion,3,940.5,2821.5,Completed,Neha
100035,2025-05-09,CUST0105,East,T-Shirt,Fashion,5,1615.15,8075.75,Completed,Karan
100036,2025-11-23,CUST0537,West,Laptop,Electronics,6,3970.04,23820.24,Completed,Arjun
100037,2025-12-20,CUST0306,East,Laptop,Electronics,2,4752.73,9505.46,Cancelled,Rahul
100038,2025-01-21,CUST0733,West,Notebook,Stationery,1,167.96,167.96,Completed,Priya
100039,2025-05-02,CUST0333,West,Jacket,Fashion,10,2298.54,22985.4,Cancelled,Amit
100040,2025-07-30,CUST1372,West,Television,Home Appliances,6,15865.34,95192.04,Completed,Priya
100041,2025-08-24,CUST0717,North,Book,Stationery,8,126.77,1014.16,Cancelled,Neha
100042,2025-05-23,CUST0143,North,Refrigerator,Home Appliances,4,8570.85,34283.4,Completed,Arjun
100043,2025-05-14,CUST0366,North,Shoes,Fashion,2,2655.71,5311.42,Completed,Arjun
100044,2025-09-19,CUST0237,South,Jeans,Fashion,7,1897.38,13281.66,Cancelled,Neha
100045,2025-10-03,CUST1407,West,Shoes,Fashion,7,204.74,1433.18,Completed,Priya
100046,2025-06-03,CUST1039,North,Jeans,Fashion,2,2215.31,4430.62,Completed,Sneha
100047,2025-08-04,CUST1362,South,Pen,Stationery,9,81.1,729.9,Completed,Rahul
100048,2025-06-05,CUST0588,West,Jacket,Fashion,9,2534.43,22809.87,Completed,Sneha
100049,2025-09-19,CUST0970,West,Backpack,Stationery,8,344.3,2754.4,Completed,Karan
100050,2025-04-26,CUST0408,West,Shoes,Fashion,4,2083.83,8335.32,Completed,Neha
100051,2025-11-19,CUST1179,West,Book,Stationery,8,218.93,1751.44,Completed,Arjun
100052,2025-12-19,CUST0012,East,Backpack,Stationery,4,90.83,363.32,Cancelled,Neha
100053,2025-10-13,CUST0511,East,Television,Home Appliances,9,9826.45,88438.05,Completed,Meera
100054,2025-09-16,CUST0874,South,Jacket,Fashion,10,2482.02,24820.2,Cancelled,Meera
